record_ref,source_file,name,full_title,venue,entity_type,category,links,reading,reading_level,attempt,reason,untried,evidence,priority,A,B,X,cards
MAIN-R176,research/literature_audit_20260909/literature_inventory.json,Dyn-Bitpool (TCAS-I),Dyn-Bitpool: A 28 nm 27 TOPS/W Two-Sided Sparse CIM Accelerator Featuring a Balanced Workload Scheme and High CIM Macro Utilization,IEEE Transactions on Circuits and Systems I: Regular Papers 2025,paper,剪枝、条件执行与编译,https://doi.org/10.1109/TCSI.2025.3547001,阅读层级按 status；元数据核验不等于原作完整迁移,,DOI/题名/卷期已核；旧研究列入；无本地完整复现,仅登记已有 28nm CIM 先验，绝不是本项目数字 1RW PPA。未以其存在否定数字负载平衡共设。,原文完整机制和与 DAC 版本差别；数字执行边界及独立实测,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md""]",P1_mid_rel,,,,
MAIN-R177,research/literature_audit_20260909/literature_inventory.json,Control Variate,Control Variate Approximation for DNN Accelerators,DAC 2021,paper,剪枝、条件执行与编译,https://doi.org/10.1109/DAC18074.2021.9586092,阅读层级按 status；元数据核验不等于原作完整迁移,,旧调研引用/概述；未完整迁入,误差均值补偿不等于严格不改 θg。静态 θ 可合法形成有效权重，但不能由此宣称全部幅值运算可忽略。,完整近似乘法器和原补偿策略；阈值附近错误及任务 AEE，而非只看均方误差,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md""]",P2_low_mid,,,,
MAIN-R178,research/literature_audit_20260909/literature_inventory.json,Control Variate extension,Leveraging Highly Approximated Multipliers in DNN Inference,arXiv 2024,paper,剪枝、条件执行与编译,https://arxiv.org/abs/2412.16757,阅读层级按 status；元数据核验不等于原作完整迁移,,作者预印本身份已核；旧包列入；未完整迁入,与 DAC 2021 工作分别登记，未核正式期刊。不能把补偿后误差小当本地无损 RTL。,完整近似乘法器/补偿及位宽；真实连续 PSN 阈值与端到端 AEE,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md""]",P0_high_rel,,,,
MAIN-R179,research/literature_audit_20260909/literature_inventory.json,MACISH,MACISH: Designing Approximate MAC Accelerators With Internal-Self-Healing,IEEE Access 2019,paper,剪枝、条件执行与编译,https://doi.org/10.1109/ACCESS.2019.2920335,阅读层级按 status；元数据核验不等于原作完整迁移,,出版身份已核；旧概述层级；无本地完整实现,自补偿 MAC 不是首次机制；旧 HBG/ADP 幅值叙事不能代替量化误差及真实挂点证明。,原乘法/自恢复结构；本地 θg 与连续前端/PSN 的精度-费用曲线,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md""]",P0_high_rel,,,,
MAIN-R180,research/literature_audit_20260909/literature_inventory.json,Laconic,Laconic Deep Learning Computing（作者预印本）；会议版 Laconic Deep Learning Inference Acceleration,arXiv 预印本；会议版 ISCA 待一手正文复核 2018,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1805.04513,阅读层级按 status；元数据核验不等于原作完整迁移,,旧包名字级提及；本轮作者预印本摘要核身份；非方法完整精读,普通 bit-serial/跳零不是新意；没有本地完整阵列实验可说其失败。,会议版全文与完整负载平衡/编码；真实连续乘法位分布和 word-MAC 强控制,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md""]",P3_peripheral,,,,
MAIN-R181,research/literature_audit_20260909/literature_inventory.json,BISMO,BISMO: A Scalable Bit-Serial Matrix Multiplication Overlay for Reconfigurable Computing,FPL 2018,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1806.08862,阅读层级按 status；元数据核验不等于原作完整迁移,,原文相关方法已读；没有完整迁入 FPGA overlay,S^T S 改名 cofire 不能把普通位矩阵核当新原语；源统计必须承担转置/计数/宽收缩。,完整位串行核和供数/格式；真实有限 SRAM 源 Gram 与融合输出统计强比较,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/mechanism_rebuild_gh_20260906/report-source.md""]",P3_peripheral,,,,
MAIN-R182,research/literature_audit_20260909/literature_inventory.json,OPN,Memory-Efficient Batch Normalization by One-Pass Computation for On-Device Training,IEEE Transactions on Circuits and Systems II: Express Briefs 2024,paper,剪枝、条件执行与编译,https://doi.org/10.1109/TCSII.2024.3354738,阅读层级按 status；元数据核验不等于原作完整迁移,,最新 20260906 已补读原文 III-B/C/D 与 IV；不是仍未取得全文,采用最新 root_bn_prior_gap_closure：单遍 BN/省原值已有，OPN 是近似算法，不等同冻结全域标准 BN；不转述其工艺 PPA 为本地结果。,完整原训练、抽样统计和 TinyEN；与固定 BN/必须保真动态 BN 两种身份分别比較,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/mechanism_rebuild_gh_20260906/records/root_bn_prior_gap_closure.json"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/bn_state/README.md""]",P3_peripheral,,,,
MAIN-R183,research/literature_audit_20260909/literature_inventory.json,FlexAcc,FlexAcc: Accelerating Batch Normalization through GPU-FPGA Integration,ISCAS 2025,paper,剪枝、条件执行与编译,https://jiemingyin.github.io/docs/ISCAS2025_FlexAcc.pdf,阅读层级按 status；元数据核验不等于原作完整迁移,,20260906 已读 III-A/B/C；完整异构系统未迁入,首遍计算 sum/sumsq 同时保存 x，后读回归一化；前后向模块共用已有。旧未读缺口已被新记录补齐。,原完整 GPU-FPGA 供数/状态模型；当前数字 SRAM 和 θg 消费者费用,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/mechanism_rebuild_gh_20260906/records/root_bn_prior_gap_closure.json"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/bn_state/README.md""]",P3_peripheral,,,,
MAIN-R184,research/literature_audit_20260909/literature_inventory.json,ACBN,ACBN: Approximate Calculated Batch Normalization for Efficient DNN On-Device Training Processor,IEEE Transactions on Very Large Scale Integration Systems 2023,paper,剪枝、条件执行与编译,https://doi.org/10.1109/TVLSI.2023.3262787,阅读层级按 status；元数据核验不等于原作完整迁移,,元数据/引用追踪层级；全文缺口仍未闭,不能依据二手 range-BN 概述排除覆盖；也未称其完整迁移/失败。,原文方法与统计精度/状态保存边界；与本地源统计/证书的准确关系,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/mechanism_rebuild_gh_20260906/records/root_bn_prior_gap_closure.json""]",P3_peripheral,,,,
MAIN-R185,research/literature_audit_20260909/literature_inventory.json,LUT-GEMM,LUT-GEMM: Quantized Matrix Multiplication Based on LUTs for Efficient Inference in Large-Scale Generative Language Models,ICLR 2024,paper,剪枝、条件执行与编译,https://proceedings.iclr.cc/paper_files/paper/2024/file/a4f98ce85f440ee269b0df57b4368719-Paper-Conference.pdf,本地记录有机制引用；本輪仅复核出版身份，不补称逐节精读,,本地作为方法近邻引用；未完整迁移 GPU kernel,radix/时间签名中不默认加入 LUT 引擎的结论只针对本地收益；不等于 LUT-GEMM 完整方法失败。,原量化格式、查表 kernel、编译与分块；本地 θW 表、完整 PSN 和真实物理请求的同学生对照,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_radix_temporal_20260906/report.md""]",P1_mid_rel,,,,
MAIN-R186,research/literature_audit_20260909/literature_inventory.json,Network Deconvolution,Network Deconvolution,ICLR 2020,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1905.11926,本地记录核其输入协方差/权重变换原理；本轮核作者摘要与出版信息,,原理层面纳入；未迁入完整去相关训练,源域统计/先变换权重已有相关方法；本地精确经验矩统计不是完整 Network Deconvolution。,原完整 whitening/去相关及替换 BN 的训练；稀疏 θg 变连续后新增算术和供数费用,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_radix_temporal_20260906/report.md""]",P3_peripheral,,,,
MAIN-R187,research/literature_audit_20260909/literature_inventory.json,Deep Decomposition Learning,Deep Decomposition Learning for Inverse Imaging Problems,ECCV 2020,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1911.11028,本地记录有分解方法评审；本轮核作者论文身份,,原理已用于光流法向分解评审；未立项训练,已有 range/null-space 结构分解，不能把网络只补不可观测分量当新代数。当前无完整事件约束生产和网络改写实验，未判原方法失效。,真实事件法向测量、不确定性与不可观测分量学习；完整 optical-flow AEE/前端费用验证,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_radix_temporal_20260906/report.md""]",P3_peripheral,,,,
MAIN-R188,research/literature_audit_20260909/literature_inventory.json,Davis–Arel conditional low rank,Low-Rank Approximations for Conditional Feedforward Computation in Deep Neural Networks,arXiv 2013,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1312.4461,本地已逐节读方法并形成真实输入探针；本轮只补清单,,原文 §3.1–3.5 已读；本地严格残差界有限迁移已测,本地 rank1/SVD 先判在静态常量折叠的 rank0 范数门强控制前失利；停止此无损预测版本，不等于允许有损低秩 PSN 压缩也失败。原论文原型先完整前向再 mask，未冒称完整条件硬件。,原完整预测训练与执行开销；有损低秩模型与无损预测两种任务分开；同挂点 rank2/3 拟合属于另一控制,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/README.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/independent_review.md""]",P1_mid_rel,,,,
MAIN-R189,research/literature_audit_20260909/literature_inventory.json,Mixture-of-Rookies,Mixture-of-Rookies: Saving DNN Computations by Predicting ReLU Outputs,Universitat Politècnica de Catalunya 作者研究报告 2021,technical_report,剪枝、条件执行与编译,https://www.ac.upc.edu/app/research-reports/html/RR/2021/7.pdf,本地引用算前预测原则；本轮核作者全文首页/摘要，未补称既往完整精读,,本地原理引用；未完整迁入混合预测器/阵列,算前预测零、相关神经元分组不是空白；动态 BN/非因果 PSN 的全域依赖并未由该原文自动解决，也未被本地 median mask 试验否定。,原完整二值点积回归与角度分组训练；全 T10 θg 的误差/共同完成与源供数费用,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md""]",P1_mid_rel,,,,
MAIN-R190,research/literature_audit_20260909/literature_inventory.json,CNN-Cert,CNN-Cert: An Efficient Framework for Certifying Robustness of Convolutional Neural Networks,AAAI 2019,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1811.12395,相关框架原则已纳入旧卡；本轮只核题名/出版信息，不冒称全系统实验,,本地原理引用；未迁入完整认证框架,保守界、逐层传播及证书不是新原语；本地动态 BN 渐进精化没有把全域重扫和 FP 舍入解决，不能以公式正确充当执行收益。,完整认证域和浮点数值边界；真实全域统计依赖、精化代价与最强一次检查,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md""]",P3_peripheral,,,,
MAIN-R191,research/literature_audit_20260909/literature_inventory.json,Neuron Merging,Neuron Merging: Compensating for Pruned Neurons,NeurIPS 2020,paper,剪枝、条件执行与编译,https://papers.nips.cc/paper/2020/file/0678ca2eae02d542cc931e81b74de122-Paper.pdf,本地记录已引用合并与 BN 方法；本轮核官方原文身份,,本地方法近邻引用；未完整迁入作者压缩方法,共享完整投影/补偿被剪神经元已有方法；本地多阈值可达模式假说不能改名作普通合并创新。ReLU 吸收条件不能直接代替非因果 PSN 和 θg 合同。,原相似度分解/BN 处理和补偿；多阈值新学生、真实 FC2 稀疏控制与表规模,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/candidate_cards_v1.md""]",P1_mid_rel,,,,
MAIN-R192,research/literature_audit_20260909/literature_inventory.json,Wanhammar distributed arithmetic notes,Distributed Arithmetic（DSP Integrated Circuits 作者讲义）,作者教学讲义，非独立会议论文,lecture_notes,剪枝、条件执行与编译,https://users.isy.liu.se/eks/larsw/books/DSP_Integrated_Circuits/pdf/DSP_IC_DA.pdf,已有报告明确第1–4页原文已读；本轮不因访问失败抹掉既往阅读,,既往已读第1–4页；未把讲义算作本地新方法,六输入位组成 64 项 subset-sum 表、分成3+3子表都属普通 DA。96 lane 独立地址需要端口/ROM/MUX，单份容量不能偷换全部并行费用。,同 CMOS 资源下完整 DA/分表/端口比较；本地 word-MAC 和普通合法缩位必须同授,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/bit_decision_cost_review.md""]",P3_peripheral,,,,
MAIN-R193,research/literature_audit_20260909/literature_inventory.json,ConvDLGN,Convolutional Differentiable Logic Gate Networks,NeurIPS 2024,paper,剪枝、条件执行与编译,https://proceedings.neurips.cc/paper_files/paper/2024/hash/db988b089d8d97d0f159c15ed0be6a71-Abstract-Conference.html,本地方法评审已完成；本轮补身份和未试范围,,原文相关机制已读；本地逻辑模型未训练/综合,直接删 MAC/宽中间状态而学习判定位已有具体方法；本地未提出超出完整 LogicNets/ConvDLGN 的结构增量，停止泛化命名，保留模型迁移资格。,完整逻辑卷积训练与有限 fan-in；连续输入、T10 θ 幅值及任务蒸馏的实际 AEE/硬件,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/next_hypotheses_independent.md""]",P3_peripheral,,,,
MAIN-R194,research/literature_audit_20260909/literature_inventory.json,JPEG-domain ResNet,Deep Residual Learning in the JPEG Transform Domain,ICCV 2019,paper,剪枝、条件执行与编译,https://arxiv.org/abs/1812.11690,明确相关方法段已读，不等于原模型复现,,原文 §4.3、补充 Algorithm 3 已读；未迁入 JPEG 网络,由变换系数求 BN 统计不是新增公式。本地时间码 Gram/Hadamard 扩展只有首遍免解码的有限余量；固定 BN2 简单控制已很强，未开该扩展训练。,原完整变换域网络/BN；保动态 BN2 时字典训练、稀疏类更新与完整等待状态,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md""]",P3_peripheral,,,,
MAIN-R195,research/literature_audit_20260909/literature_inventory.json,QuaRot,QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,NeurIPS 2024,paper,剪枝、条件执行与编译,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b5b939436789f76f08b9d0da5e81af7c-Abstract-Conference.html,相关原文方法已读；论文身份由官方页补核,,作者原文 §3.4/§4 已读；本地未完整迁入旋转量化,正交基下求范数、Hadamard 和折权不是新意；改变基后一次 θg 更新可能扩成多个连续更新，不能免费推导类域硬件获益。,原完整旋转/量化过程；本地静态字典、真实源稀疏、非因果消费与动态 BN 分开比较,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/gustavsnn_migration_notes.md""]",P3_peripheral,,,,
MAIN-R196,research/literature_audit_20260909/literature_inventory.json,Budgeted Broadcast,Budgeted Broadcast: An Activity-Dependent Pruning Rule for Neural Network Efficiency,arXiv 2025,paper,剪枝、条件执行与编译,https://arxiv.org/abs/2510.01263,相关主文已逐节核对，本轮仅补清单,,原文 §2–4/Algorithm1/Fig2 已读；未完整迁入训练,按广播扇出训练连接不是新增原则。原文未实现本地消费者提前完成后取消前驱卷积的时间图，不能仅凭一般 mask 表达力否定具体共设；当前持续检查仍输强一次检查。,原完整活动预算/再生训练；针对真实前驱生产与有限状态的训练目标，需独立新增差异才重开,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/patch_conditional_fusion_followup_20260908.md""]",P3_peripheral,,,,
MAIN-R197,research/literature_audit_20260909/literature_inventory.json,SOFTS,SOFTS: Efficient Multivariate Time Series Forecasting with Series-Core Fusion,NeurIPS 2024,paper,剪枝、条件执行与编译,https://proceedings.nips.cc/paper_files/paper/2024/file/754612bde73a8b65ad8743f1f6d8ddf6-Paper-Conference.pdf,相关方法已读；本轮核官方身份并保留执行依赖差别,,原文 §3.1–3.3/式3–5/附录B.2 已读；未迁入预测模型,共享基础+私有尾结构原则已有；STAR 的 core 依赖全部序列，不能先用它取消其前驱。本地少数实际锚列与私有尾有不同依赖，但需净服务证据，不能因结构可写作 mask 就说已完全覆盖。,原完整 STAR 与任务训练；本地同预算普通共享结构、真实生产取消和强一次许可比较,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/literature/patch_conditional_fusion_followup_20260908.md""]",P3_peripheral,,,,
MAIN-R198,research/literature_audit_20260909/literature_inventory.json,PSN,Parallel Spiking Neurons with High Efficiency and Ability to Learn Long-term Dependencies,NeurIPS 2023,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2304.12760 || https://proceedings.neurips.cc/paper_files/paper/2023/file/a834ac3dfdb90da54292c2c932c997cc-Paper-Conference.pdf,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,已迁移并形成强对照,满秩 PSN 是当前母模型；34 项 masked、分组、sliding 及低秩控制均需保留各自身份。,原文 progressive-mask 全网训练未完整复现。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/codex_deep_rebuild_20260906/report-source.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/independent_review.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_execution_plan_20260908.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md""]",P0_high_rel,,,,
MAIN-R199,research/literature_audit_20260909/literature_inventory.json,MFPSN,Multiplication-Free Parallelizable Spiking Neurons with Efficient Spatio-Temporal Dynamics,NeurIPS 2025,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2501.14490 || https://proceedings.neurips.cc/paper_files/paper/2025/file/5f40a99efedc1148a061d80201949c84-Paper-Conference.pdf,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,停止限定局部拟合配置,六 S2 局部拟合版 valid10 AEE 1.439902；这是 ridge 初始化与局部蒸馏结果，不是作者整网训练失败。,完整端到端任务训练、原初始化和恢复日程尚未复现。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/hardware_innovation_20260908/psn/psn_decision_one_page.md""]",P0_high_rel,,,,
MAIN-R200,research/literature_audit_20260909/literature_inventory.json,SDformerFlow,SDformerFlow: Spatiotemporal swin spikeformer for event-based optical flow estimation,ICPR 2024,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2409.04082 || https://icpr2024.org/pdf/Technical%20Program.pdf,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,主网络来源,当前 H67 是该网络的 overlay 改型；公开 SDSA 与内部 Motion-XOR 必须分开。,未把完整网络闭成单一 RTL 顶层。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R201,research/literature_audit_20260909/literature_inventory.json,误引 SDformerFlow 的 arXiv 号,Selection pressure/Noise driven cooperative behaviour in the thermodynamic limit of repeated games,arXiv 2024,misattributed_citation,SNN、神经元与事件光流,https://arxiv.org/abs/2407.15801,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,错误引用，停止沿用,该编号实际是重复博弈论文，与 SDformerFlow 无关。,不适用。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md""]",P3_peripheral,,,,
MAIN-R202,research/literature_audit_20260909/literature_inventory.json,Xpikeformer,Xpikeformer: Hybrid Analog-Digital Hardware Acceleration for Spiking Transformers,IEEE TVLSI 2025,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2408.08794,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,跨工艺架构先验,混合模拟数字脉冲 Transformer 不能直接计为本数字 SRAM ASIC 的 PPA，但调度机制未被工艺排除证伪。,数字化迁移代价及精度未测。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R203,research/literature_audit_20260909/literature_inventory.json,ASTER,ASTER: Attention-based Spiking Transformer Engine for Event-driven Reasoning,arXiv 2025,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2511.06770,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,保留原文线索,不得把会议投稿写成已接收；事件 Transformer 机制可作候选底座。,完整实现和本任务适配未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/01_ann_sparsity_mechanisms.md"", ""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R204,research/literature_audit_20260909/literature_inventory.json,Seneca synaptic-delay hardware-aware training,Hardware-aware training of models with synaptic delays for digital event-driven neuromorphic processors,arXiv 2024,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2404.10597,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,仅调研/待迁移,突触延迟状态是另一种时间执行方式，不能假装与满秩 PSN 等价。,新神经元训练与延迟队列代价未评。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R205,research/literature_audit_20260909/literature_inventory.json,Efficient synaptic-delay implementation,Efficient Synaptic Delay Implementation in Digital Event-Driven AI Accelerators,arXiv 2025,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2501.13610,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,仅调研/待迁移,与前一项需辨别论文版本/重叠，不重复计算创新来源。,完整延迟实现与本任务适配未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md""]",P0_high_rel,,,,
MAIN-R206,research/literature_audit_20260909/literature_inventory.json,Multi-Bit Mechanism / MBLIF,Multi-Bit Mechanism: A Novel Information Transmission Paradigm for Spiking Neural Networks,arXiv 2024,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2407.05739,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,仅新模型候选,多位逐事件载荷不是当前 θg 幅值合同的免费扩展。,需新训练/AEE 和幅值生产代价。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P2_low_mid,,,,
MAIN-R207,research/literature_audit_20260909/literature_inventory.json,Best of Both Worlds,Best of Both Worlds: Hybrid SNN-ANN Architecture for Event-based Optical Flow Estimation,arXiv 2023,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2306.02960,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,混合 SNN-ANN 光流先验,可借混合分工，但不能把 ANN 分支免费插入当前冻结网络。,完整新网络重训与数字硬件划分未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R208,research/literature_audit_20260909/literature_inventory.json,Adaptive-SpikeNet,Adaptive-SpikeNet: Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable Neuronal Dynamics,ICRA 2023,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2209.11741,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,神经元/光流新模型先验,可学习神经元动力学有参考价值；与 PSN 的完整 T 依赖不同。,全模型迁移与 θ 输出合同尚未训练。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R209,research/literature_audit_20260909/literature_inventory.json,Spikingformer,Spikingformer: A Key Foundation Model for Spiking Neural Networks,AAAI 2026,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2304.11954,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,注意力网络先验,最新题名和年份与旧 2023 预印本记录不同。,完整替换和光流任务训练未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P1_mid_rel,,,,
MAIN-R210,research/literature_audit_20260909/literature_inventory.json,QKFormer,QKFormer: Hierarchical Spiking Transformer using Q-K Attention,NeurIPS 2024,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2403.16552,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,保留算法迁移,Q-K 注意力结构不能以旧 attention 叶份额小直接否定。,保持稠密光流输出的完整任务训练未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md""]",P1_mid_rel,,,,
MAIN-R211,research/literature_audit_20260909/literature_inventory.json,CATFormer,CATFormer: When Continual Learning Meets Spiking Transformers With Dynamic Thresholds,AAAI NeuroforAI & AIforNeuro Workshop 2026,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2603.15184,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,仅调研/新模型候选,动态阈值 continual learning 目标与冻结推理不同。,面向光流和静态部署的训练与幅值变化代价未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/innovation_first_audit_20260906/report-source.md""]",P0_high_rel,,,,
MAIN-R212,research/literature_audit_20260909/literature_inventory.json,SpiLiFormer,SpiLiFormer: Enhancing Spiking Transformers with Lateral Inhibition,ICCV 2025,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2503.15986,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,注意力算法先验,侧向抑制是已有机制；迁移可能改变 QK 稀疏与代价。,本任务训练和完整消费者成本未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md""]",P0_high_rel,,,,
MAIN-R213,research/literature_audit_20260909/literature_inventory.json,SpikePool,SpikePool: Event-driven Spiking Transformer with Pooling Attention,arXiv 2025,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2510.12102,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,保留另模型候选，当前 QK 约束需注明,完整用 pooling 替代 QK 会改变用户保留 spike QK 的结构约束。,保留 QK 的局部应用或替代网络训练未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md""]",P0_high_rel,,,,
MAIN-R214,research/literature_audit_20260909/literature_inventory.json,Spiking Patches,"Spiking Patches: Asynchronous, Sparse, and Efficient Tokens for Event Cameras",IROS 2026,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2510.26614,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,稀疏事件 stem 候选,异步稀疏 token 的 producer 改造有潜力；不是当前 dense voxel 的直接等价替换。,事件编码、稠密输出恢复和全网络训练未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/02_snn_atlif_realvalued_mechanisms.md""]",P0_high_rel,,,,
MAIN-R215,research/literature_audit_20260909/literature_inventory.json,LRF-SSA / Neural Dynamics Self-Attention,Neural Dynamics Self-Attention for Spiking Transformers,arXiv / ICLR 投稿 2026,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2603.19290,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,保留候选，纠正刊会,不能沿用旧表已中 ICLR 的表述，也不能把未测写成失败。,完整方法迁移及 AEE 未试。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md""]",P1_mid_rel,,,,
MAIN-R216,research/literature_audit_20260909/literature_inventory.json,SLIACF,Spiking Local Interaction and Adaptive Complementary Fusion for Spiking Transformer,arXiv 2026,paper,SNN、神经元与事件光流,https://arxiv.org/abs/2608.19238,本轮核原始出版身份；方法与本地去留按已有记录，未声称本轮逐篇全文精读,,仅列举/未评价,局部交互与互补融合尚无本地真实迁移证据。,原文完整方法复核、训练和费用都未做。,"[""/home/zhumd/work/sdformer_codex/ideafromai/research/idea_reassessment_four_questions_20260907.md""]",P0_high_rel,,,,
