idea_ref,name,view_type,catalog_id,A,B,X,status,boundary,next_or_stop,source,detail
ARX-161,Lonic INT4 Local Online SNN,per_paper_fusion_hint,W0612,全局部在线SNN训练共设计：INT4/三GEMM量化流+sWCTT + 可重构无乘法整型PE(0/1/2) + DCOM尖峰∩权零门控 + TPA跨时步FWD/BWD/WU并行 + INT权片外搬运——相对BPTT/FP训练与稠密PE的训练侧效率对照（借入≠X）。,BPTT全局反传存状态；FP32 GEMM/QAT假量化；无零门控稠密PE；逐步串行FWD→BWD→WU；仅推理加速器。,Lonic训练加速≠lifting X；训练侧旁路，勿搬相对GPU/TPU×能效当净服务%。,F7相关（训练/更新侧共设计）。训练加速旁路。不抢 Stage B。f_candidates含F7。,CIFAR/DVS准确率与ASIC能效≠valid825；方法窗+HTML；零门控对齐≠lifting并集合同。,映射后训练分母与Stage B冲突或仅搬PPA无差分 → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,INT4三GEMM量化流作训练低精合同 | DCOM尖峰∩权掩码作双稀疏门控模板 | TPA十RCE时步并行作共同完成旁证 | 无乘法bit-slice PE作整型累加边 | 负结果只停该训练加速挂接
ARX-023,IPZO Event-Triggered Perturbation,per_paper_fusion_hint,W0475,IMC上ZO微调：扰动和与加权和在输出域合并（保权驻留、消扰动RMW）+ 尖峰稀疏行缩减PGU + PGU-XOR(商/余LFSR异或)抑相关 + 争用有界串行累加——相对显式改权EPZO与直接复用相关扰动的片上学习对照（借入≠X）。,EPZO全阵列读改写扰动；每权独立RNG满配；PGU-Reuse分组共享致相关；一阶BPTT存中间态。,IPZO/PGU≠lifting X；片上ZO学习旁路，差分不在CIFAR/PPL或16nm面积点。,加速器/片上学习旁路。不抢 Stage B。f_candidates空。,Spikingformer/SpikeGPT点与TSMC16nm开销≠valid825；须以HTML§IV为准；隐式扰动≠lifting源字删字合同。,与Stage B同分母冲突或仅作微调叙事无端口差分 → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,输出域合并扰动作保权驻留合同 | 事件行缩减PGU作稀疏触发维度模板 | PGU-XOR地址异或作消相关旁证 | 争用串行∥IMC流水隐藏延迟作时序边 | 负结果只停该ZO-IMC挂接
ARX-022,LLC SST Fault Current Limiting,per_paper_fusion_hint,W0474,数据中心SST/LLC故障穿越：检测→关断泄放→频率跃升∥占空比闭环限流→斜坡恢复——相对硬关断/加硬件限流器的电力电子控制旁路对照（借入≠X；离主岛）。,故障即整机关断；外加限流电抗/断路硬件；无恢复斜坡的硬重投；开环降频。,LLC限流控制≠lifting X；电力电子旁路，无SNN/稀疏执行接口。,离主岛旁路。不抢 Stage B。f_candidates空。,样机故障电流/恢复波形≠valid825；仅方法窗；与融合RTL无共同分母。,与AB融合无接口 → 不进入Stage B候选池。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,四阶段状态机作故障穿越合同 | 频率跃升+占空比双旋钮作快速限流模板 | 无附加硬件嵌入控制作成本边 | 负结果：主题离岛，不挂主实验
ARX-021,Hopf-Bifurcation Spike Detector,per_paper_fusion_hint,W0473,分岔工程NDR弱信号检测：近Hopf工作点把持续相干输入转为全有全无电压尖峰、抑制快随机起伏——相对纯数字滤波/同步检测的模拟事件前端旁路对照（借入≠X；传感前端）。,已知波形匹配滤波/同步检波；连续高速数字化后软件峰值检测；线性放大后阈值。,Hopf尖峰检测器≠lifting X；电生理前端旁路，差分不在−54dB演示点。,传感/前端旁路。不抢 Stage B。f_candidates空。,光伏/MEA尖峰一致率≠valid825；补PDF；模拟分岔≠lifting源字物理删字。,无执行/供数接口 → 不进入Stage B候选池。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,近分岔相干积分作噪声抑制合同 | 全有全无尖峰作事件化ADC旁证 | 模拟域判别减连续数字化作植入带宽边 | 负结果：不挂主岛RTL
ARX-020,Anti-Gravity Thrust-Rate MPC,per_paper_fusion_hint,W0472,飞行人形反重力步行：推力率输入WB-MPC保接触切换推力连续 + 法向力下界负载转移 + CWC软约束——相对直接推力输入致尖峰的机器人控制旁路（借入≠X；离主岛）。,直接推力作控制输入；CWC硬约束致求解变慢；无双支撑负载转移；仅地面重力步行。,推力率MPC≠lifting X；机器人控制旁路，无SNN/稀疏加速接口。,离主岛旁路。不抢 Stage B。f_candidates空。,仿真/样机步行指标≠valid825；仅方法窗；与融合RTL无共同分母。,与AB融合无接口 → 不进入Stage B候选池。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,推力率输入作切换连续合同 | 法向力下界转移作反重力支撑模板 | CWC软惩罚换实时性作求解边 | 负结果：主题离岛，不挂主实验
ARX-158,FlexSpIM Hybrid-Stationary CIM,per_paper_fusion_hint,W0609,事件数字CIM：可重构分辨率PC + 权/膜电位统一存储（WS∥OS）+ 层间混合驻留(HS)减重载 + 层优先调度保DVS低延迟——相对固定分辨率/仅WS的SNN-CIM对照（借入≠X）。,固定位宽/少数档位CIM；仅权驻留(WS)；层间反复装权；阵列内模拟CIM+ADC主导；帧优先丢事件延迟。,FlexSpIM≠lifting X；CIM加速旁路，勿搬TOPS/W或宏能效当净服务%。,加速器旁路。不抢 Stage B。f_candidates空。,SCNN映射能效≠valid825；方法窗+HTML；混合驻留≠lifting多消费者并集合同。,映射几何与Stage B同分母冲突或无端口差分 → 保持旁路。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,层间HS(WS/OS)作驻留选择合同 | 可配分辨率PC作精度-面积旋钮 | 膜电位bitcell双向进位作消交错模板 | 层优先∥事件稀疏作DVS延迟边 | 负结果只停该CIM挂接
MAIN-R276,FPGA event vision survey / Event-based vision on FPGAs,per_paper_fusion_hint,W0248,FPGA/SoC 事件处理图谱：滤波→光流/立体→经典与 SNN-AI——边侧事件加速对照轴（借入≠X；综述）。详见 idea_cards/arxiv_2407.08356.md,仅 GPU/CPU 事件流水；单任务点论文无跨域对照。,综述≠lifting X；只作地图与缺口。,地图/缺口旁证；不抢 Stage B。,各文 MEPS/mW 不可并表外推；本行是 uid 别名。,仅引用综述数字无法落到同端口合同 → 停当证据，保留地图。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,同 ARX-012 | 按应用轴分簇 | MEPS+延迟+器件口径 | 负结果停「用综述数字当本地合同」
MUSHA-SP001,GustavSNN (musha inventory alias),per_paper_fusion_hint,W0002,见 idea_cards/GustavSNN.md：CPTB/NRV/L1D/merger 等供数与执行分母。,见 MAIN-R002。,无标题级 X：借入底座。,F5 底座；不抢 Stage B。,不得冒用原作 PPA；本行是 uid 别名。,同 MAIN-R002。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,同 MAIN-R002 | 别名对齐 musha 清单 | 不新增独立 idea
SCREEN-A1,Prosperity complete-chain copy onto H67,screen_20260907,,,,Prosperity complete-chain copy onto H67,SEALED_REPLAY || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Optional: dual-port parent SRAM model; do not call it a new mechanism until vs official run_fc same-resource,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A1"", ""pitch"": ""Prosperity complete-chain copy onto H67"", ""s1_status"": ""SEALED_REPLAY"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""c1_full_layer"": {""path"": ""/home/zhumd/work/ideafromai/research/complete_transfer_20260907/c1_full_layer_r1.json"", ""n_points"": 2, ""first_two"": [{""config"": ""artifact_default_256x16x128"", ""modes"": {""bit"": {""total_cycles"": 14734022, ""compute_cycles"": 14734002, ""mem_stall_cycles"": 20}, ""product"": {""total_cycles"": 6329342, ""compute_cycles"": 6329322, ""mem_stall_cycles"": 20}, ""product_over_bit_total"": 2.327891588098731, ""mem_stall_frac_bit"": 1.3574026155248038e-06}}, {""config"": ""artifact_at_local_64x16x96"", ""modes"": {""bit"": {""total_cycles"": 19645349, ""compute_cycles"": 19645336, ""mem_stall_cycles"": 13}, ""product"": {""total_cycles"": 10066965, ""compute_cycles"": 10066952, ""mem_stall_cycles"": 13}, ""product_over_bit_total"": 1.9514669018914836, ""mem_stall_frac_bit"": 6.6173423541623e-07}}], ""status"": ""COMPLETE_SINGLE_OPERATOR_OFFICIAL_OUTER_MODEL_REFERENCE_ONLY""}, ""prosperity_fusion"": {""path"": ""/home/zhumd/work/ideafromai/research/prosperity_fusion_20260906/same_cohort_strong_baseline.json"", ""keys"": [""date"", ""scope"", ""pure_Prosperity"", ""selected_fusion"", ""fusion_adds_over_pure_Prosperity"", ""claim_boundary""], ""status"": null}}, ""next"": ""Optional: dual-port parent SRAM model; do not call it a new mechanism until vs official run_fc same-resource"", ""notes"": null}"
SCREEN-A2,In-register parent promotion,screen_20260907,,,,In-register parent promotion,SEALED_REPLAY || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Only retry if layout/ports change; +1.58% add was the increment,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A2"", ""pitch"": ""In-register parent promotion"", ""s1_status"": ""SEALED_REPLAY"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""result"": {""path"": ""/home/zhumd/work/ideafromai/research/c1_retained_parent_promotion_20260907/result_r1.json"", ""status"": ""EXPLORATORY_LOCAL_SERVICE_OPPORTUNITY_ONLY"", ""excerpt_keys"": [""date"", ""status"", ""plan"", ""plan_sha256"", ""script_sha256"", ""imported_script_sha256"", ""ledger_sha256"", ""same_cohort_reference_sha256"", ""aggregate"", ""relative_add_reduction"", ""examples"", ""tiles"", ""limits""]}}, ""next"": ""Only retry if layout/ports change; +1.58% add was the increment"", ""notes"": null}"
SCREEN-A3,Phi PAFT hardware-aware sparsity training,screen_20260907,,,,Phi PAFT hardware-aware sparsity training,SEALED_REPLAY || S3_OLD_IDENTITY,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Must retrain on ep34; PAFT-ep4 running AEE ~1.47 already fails 1.259 floor,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A3"", ""pitch"": ""Phi PAFT hardware-aware sparsity training"", ""s1_status"": ""SEALED_REPLAY"", ""highest_stage_reached"": ""S3_OLD_IDENTITY"", ""aee_gate"": ""FAIL_NEW_GATE"", ""aee"": 1.46915, ""numbers"": {""m247_path"": ""/home/zhumd/work/sdformer_codex/SDformer/hw_autoresearch_nts07/results/m247_paft_vs_control_paired_valid825_r1_20260825/m247_paft_vs_control_paired_valid825_r1.json"", ""m247_running_bn_aee_improvement_percent"": 0.5730215096601543, ""m247_identity"": ""PAFT ep4, NOT ep34"", ""m247_new_gate_if_control_is_1p47"": ""FAIL_NEW_GATE"", ""tau1_valid825"": {""note"": ""selective tau=1 on PAFT-ep4 running-BN identity, not Motion C12 ep34"", ""control_aee"": 1.46915, ""candidate_aee"": 1.49848, ""delta"": 0.02933, ""new_gate"": ""FAIL_NEW_GATE""}, ""headline_admitted_in_receipt"": false}, ""next"": ""Must retrain on ep34; PAFT-ep4 running AEE ~1.47 already fails 1.259 floor"", ""notes"": null}"
SCREEN-A4,TSBG weight-row broadcast B2/B4/B8,screen_20260907,,,,TSBG weight-row broadcast B2/B4/B8,SEALED_REPLAY_EP34 || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,CPU premodel GO at 1.15 cycle gate; RTL still separate. Under new contract this is retry-not-killed.,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A4"", ""pitch"": ""TSBG weight-row broadcast B2/B4/B8"", ""s1_status"": ""SEALED_REPLAY_EP34"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""path"": ""/home/zhumd/work/sdformer_codex/SDformer/hw_autoresearch_nts07/results/tsbg_ep34_same_io_b2_b4_b8_quickkill_r1_20260902/result.json"", ""checkpoint_sha_prefix"": ""4bbaf7fc"", ""by_bundle"": {""2"": {""conservative_serialized_speedup"": 1.5937566438434225, ""roofline_speedup"": 1.6781725316560163, ""weight_fetch_ratio"": 1.6678118472442658, ""weight_byte_reduction"": 0.4004119819317118, ""cycle_gate_ge_1p15"": true, ""energy_branch_weight_reduction_ge_30pct"": true}, ""4"": {""conservative_serialized_speedup"": 2.533808244015755, ""roofline_speedup"": 2.9035609271900737, ""weight_fetch_ratio"": 2.8733780344677022, ""weight_byte_reduction"": 0.6519775720408291, ""cycle_gate_ge_1p15"": true, ""energy_branch_weight_reduction_ge_30pct"": true}, ""8"": {""conservative_serialized_speedup"": 3.893370078010493, ""roofline_speedup"": 5.1217395129030105, ""weight_fetch_ratio"": 5.049365334698687, ""weight_byte_reduction"": 0.8019553084962759, ""cycle_gate_ge_1p15"": true, ""energy_branch_weight_reduction_ge_30pct"": true}}, ""decisions"": [{""bundle"": 2, ""cycle_gate"": true, ""energy_branch_gate"": true, ""recommended_disposition"": ""GO_CPU_PREMODEL_ONLY__RTL_STILL_REQUIRES_SEPARATE_GATE""}, {""bundle"": 4, ""cycle_gate"": true, ""energy_branch_gate"": true, ""recommended_disposition"": ""GO_CPU_PREMODEL_ONLY__RTL_STILL_REQUIRES_SEPARATE_GATE""}, {""bundle"": 8, ""cycle_gate"": true, ""energy_branch_gate"": true, ""recommended_disposition"": ""GO_CPU_PREMODEL_ONLY__RTL_STILL_REQUIRES_SEPARATE_GATE""}]}, ""next"": ""CPU premodel GO at 1.15 cycle gate; RTL still separate. Under new contract this is retry-not-killed."", ""notes"": null}"
SCREEN-A5,Lossy S2 block skip,screen_20260907,,,,Lossy S2 block skip,SEALED_REPLAY_EP34 || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,FC2 zero-cost UB<1.15 NO-GO; FC1/patch only if drop remaining work 39.5%/22.8% AND paired AEE,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A5"", ""pitch"": ""Lossy S2 block skip"", ""s1_status"": ""SEALED_REPLAY_EP34"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""path"": ""/home/zhumd/work/sdformer_codex/SDformer/hw_autoresearch_nts07/results/m1713_ep34_s2_fc_patch_zero_cost_upper_bound_fastkill_r1_20260901/result.json"", ""decision"": {""fc1"": ""CONDITIONAL_ONLY_AS_CROSS_LAYER_FAMILY; NEED RETAINED VALUES, PAIRED AEE, AND SAME_RESOURCE REPLAY"", ""fc2"": ""DIRECT_NO_GO_EVEN_IF_ALL_REMAINING_FC2_WORK_IS_FREE"", ""patch_embed"": ""CONDITIONAL_ONLY_AS_CROSS_LAYER_FAMILY; NEED RETAINED VALUES, PAIRED AEE, AND SAME_RESOURCE REPLAY"", ""rtl_authorized"": false, ""standalone_modules"": ""DIRECT_NO_GO_32_OF_32""}, ""family_upper_bounds"": [{""object"": ""patch_embed"", ""zero_cost_complete_elimination_upper_bound"": 2.3393072723511126, ""min_frac_remaining_to_drop_for_1p15x"": 0.22782451915070082, ""direct_no_go_below_1p15"": false}, {""object"": ""fc1"", ""zero_cost_complete_elimination_upper_bound"": 1.4926615838838098, ""min_frac_remaining_to_drop_for_1p15x"": 0.3951901170389647, ""direct_no_go_below_1p15"": false}, {""object"": ""fc2"", ""zero_cost_complete_elimination_upper_bound"": 1.1079364974149792, ""min_frac_remaining_to_drop_for_1p15x"": 1.3388747900893094, ""direct_no_go_below_1p15"": true}]}, ""next"": ""FC2 zero-cost UB<1.15 NO-GO; FC1/patch only if drop remaining work 39.5%/22.8% AND paired AEE"", ""notes"": null}"
SCREEN-A6,C2 temporal shared partial-sum RTL,screen_20260907,,,,C2 temporal shared partial-sum RTL,SEALED_RTL_FUNC || S4_FUNC,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Wire bank-return + persistent Y; compare same-resource vs direct FTP,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A6"", ""pitch"": ""C2 temporal shared partial-sum RTL"", ""s1_status"": ""SEALED_RTL_FUNC"", ""highest_stage_reached"": ""S4_FUNC"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""rtl"": {""path"": ""/home/zhumd/work/ideafromai/research/c2_temporal_shared_protocol_20260907/records/functional_r2/result.json"", ""status"": ""PASS_FUNCTIONAL_ONLY"", ""keys"": [""status"", ""scope"", ""input_sha256"", ""fixture_sha256"", ""tool_version"", ""configs"", ""claim_boundary""]}, ""source_order_add_reduction"": {""status"": ""EXPLORATORY_SOURCE_ORDER_IMPLEMENTATION_REFERENCE"", ""layers"": [{""module"": ""sttmultires_unet.encoders.swin3d.layers.0.swin_blocks.0.mlp.fc2"", ""slots"": {""4"": {""adds_over_direct_FTP"": 0.818401112115199, ""adds_over_full_flat_groups"": 1.0431904893196646, ""add_reduction_vs_FTP_pct"": 18.159888788480107}, ""8"": {""adds_over_direct_FTP"": 0.7922401580626215, ""adds_over_full_flat_groups"": 1.0098439333886213, ""add_reduction_vs_FTP_pct"": 20.77598419373785}}}, {""module"": ""sttmultires_unet.encoders.swin3d.layers.3.swin_blocks.0.mlp.fc2"", ""slots"": {""4"": {""adds_over_direct_FTP"": 0.7421176237598187, ""adds_over_full_flat_groups"": 1.4819479609513697, ""add_reduction_vs_FTP_pct"": 25.78823762401813}, ""8"": {""adds_over_direct_FTP"": 0.5778679967021778, ""adds_over_full_flat_groups"": 1.153954941904201, ""add_reduction_vs_FTP_pct"": 42.21320032978222}}}]}}, ""next"": ""Wire bank-return + persistent Y; compare same-resource vs direct FTP"", ""notes"": null}"
SCREEN-A7,Per-bank one 10-bit mode,screen_20260907,,,,Per-bank one 10-bit mode,SEALED_REPLAY || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Remap capture address==bank or stop claiming physical request equality,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A7"", ""pitch"": ""Per-bank one 10-bit mode"", ""s1_status"": ""SEALED_REPLAY"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""bank"": ""BANK_LOCAL_SINGLE_MODE_ARITHMETIC_OPPORTUNITY_ONLY""}, ""next"": ""Remap capture address==bank or stop claiming physical request equality"", ""notes"": null}"
SCREEN-A8,Late-known BN theta packet,screen_20260907,,,,Late-known BN theta packet,SEALED_RTL_FUNC || S4_FUNC,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Feed real BN/PSN intervals; measure restore rate,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A8"", ""pitch"": ""Late-known BN theta packet"", ""s1_status"": ""SEALED_RTL_FUNC"", ""highest_stage_reached"": ""S4_FUNC"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""rtl"": {""path"": ""/home/zhumd/work/ideafromai/research/hardware_mechanisms_20260906/records/functional_r3/result.json"", ""status"": ""PASS_FIVE_CONFIGURATIONS"", ""keys"": [""status"", ""results"", ""source_sha256"", ""lint"", ""limitations"", ""PPA_ADMISSION"", ""RTL_SPEEDUP_ADMISSION"", ""FROZEN_FP_EQUIVALENCE""]}}, ""next"": ""Feed real BN/PSN intervals; measure restore rate"", ""notes"": null}"
SCREEN-A9,Motion residual default state,screen_20260907,,,,Motion residual default state,NO_RTL_NO_AEE || S0,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Needs DSEC train; skip until AEE probe,research/idea_screen_20260907/scoreboard.json,"{""id"": ""A9"", ""pitch"": ""Motion residual default state"", ""s1_status"": ""NO_RTL_NO_AEE"", ""highest_stage_reached"": ""S0"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {}, ""next"": ""Needs DSEC train; skip until AEE probe"", ""notes"": null}"
SCREEN-B1,Motion-XOR triple-popcount score ALU,screen_20260907,,,,Motion-XOR triple-popcount score ALU,NEW_QK_CENSUS_EP35 || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Need ep34 QK census before paper table; leaf object viable,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B1"", ""pitch"": ""Motion-XOR triple-popcount score ALU"", ""s1_status"": ""NEW_QK_CENSUS_EP35"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""overlap_mean"": 0.012507870370370364, ""motion_xor_mean"": 1.5262000000000007, ""same_zero_mean"": 30.62226481481481, ""q_bit_density"": 0.0172676731078905, ""k_bit_density"": 0.03826545390499195}, ""next"": ""Need ep34 QK census before paper table; leaf object viable"", ""notes"": null}"
SCREEN-B2,Dirty-lane skip of score leaf,screen_20260907,,,,Dirty-lane skip of score leaf,NEW_QK_CENSUS_EP35 || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Row-level Shiftmax denom still unmeasured; do not treat token skip as row skip,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B2"", ""pitch"": ""Dirty-lane skip of score leaf"", ""s1_status"": ""NEW_QK_CENSUS_EP35"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""dirty_or_frac"": 0.6089288244766505, ""score_leaf_needed_frac"": 0.43902834138486313, ""ideal_skip"": 0.5609716586151369, ""per_stage"": {""S0"": {""tokens"": 135000, ""k_zero_frac"": 0.7433333333333333, ""dirty_frac"": 0.34115555555555555, ""leaf_needed_frac"": 0.2544666666666667}, ""S1"": {""tokens"": 270000, ""k_zero_frac"": 0.9518629629629629, ""dirty_frac"": 0.061174074074074075, ""leaf_needed_frac"": 0.048107407407407404}, ""S2"": {""tokens"": 1620000, ""k_zero_frac"": 0.6914024691358025, ""dirty_frac"": 0.5799308641975308, ""leaf_needed_frac"": 0.3082666666666667}, ""S3"": {""tokens"": 1080000, ""k_zero_frac"": 0.2432537037037037, ""dirty_frac"": 0.8228361111111111, ""leaf_needed_frac"": 0.7559712962962963}}}, ""next"": ""Row-level Shiftmax denom still unmeasured; do not treat token skip as row skip"", ""notes"": null}"
SCREEN-B3,K=0 skip score and V,screen_20260907,,,,K=0 skip score and V,NEW_QK_CENSUS_EP35 || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Lossless if K-as-V holds; combine with B2,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B3"", ""pitch"": ""K=0 skip score and V"", ""s1_status"": ""NEW_QK_CENSUS_EP35"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""k_zero_both_t_frac"": 0.5604312399355877, ""k0_zero_frac"": 0.682156843800322, ""k1_zero_frac"": 0.6957004830917874}, ""next"": ""Lossless if K-as-V holds; combine with B2"", ""notes"": null}"
SCREEN-B4,Replace Motion-XOR with linear QK/SDSA in window,screen_20260907,,,,Replace Motion-XOR with linear QK/SDSA in window,NEEDS_OVERLAY_FINETUNE || S0,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,"S2: one stage2 block swap, 10-frame AEE from ep34",research/idea_screen_20260907/scoreboard.json,"{""id"": ""B4"", ""pitch"": ""Replace Motion-XOR with linear QK/SDSA in window"", ""s1_status"": ""NEEDS_OVERLAY_FINETUNE"", ""highest_stage_reached"": ""S0"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {}, ""next"": ""S2: one stage2 block swap, 10-frame AEE from ep34"", ""notes"": null}"
SCREEN-B5,STSA spatiotemporal spiking attention,screen_20260907,,,,STSA spatiotemporal spiking attention,NEEDS_OVERLAY_FINETUNE || S0,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,T_w=2 may be too short; S2 after kernel swap,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B5"", ""pitch"": ""STSA spatiotemporal spiking attention"", ""s1_status"": ""NEEDS_OVERLAY_FINETUNE"", ""highest_stage_reached"": ""S0"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""tw"": 2}, ""next"": ""T_w=2 may be too short; S2 after kernel swap"", ""notes"": null}"
SCREEN-B6,SLI local path + SSA fusion,screen_20260907,,,,SLI local path + SSA fusion,NEEDS_OVERLAY_FINETUNE || S0,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Add depthwise beside SSA; A800 only after S2,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B6"", ""pitch"": ""SLI local path + SSA fusion"", ""s1_status"": ""NEEDS_OVERLAY_FINETUNE"", ""highest_stage_reached"": ""S0"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {}, ""next"": ""Add depthwise beside SSA; A800 only after S2"", ""notes"": null}"
SCREEN-B7,SQKFormer IECA+MABN,screen_20260907,,,,SQKFormer IECA+MABN,CONTRACT_CONFLICT_RISK || S0,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Align with PSN/ATLIF BN before any train,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B7"", ""pitch"": ""SQKFormer IECA+MABN"", ""s1_status"": ""CONTRACT_CONFLICT_RISK"", ""highest_stage_reached"": ""S0"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {}, ""next"": ""Align with PSN/ATLIF BN before any train"", ""notes"": null}"
SCREEN-B8,LRF-SSA neural-dynamics attention,screen_20260907,,,,LRF-SSA neural-dynamics attention,NEEDS_OVERLAY_FINETUNE || S0,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Plugin on ep34; S2 10-frame,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B8"", ""pitch"": ""LRF-SSA neural-dynamics attention"", ""s1_status"": ""NEEDS_OVERLAY_FINETUNE"", ""highest_stage_reached"": ""S0"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {}, ""next"": ""Plugin on ep34; S2 10-frame"", ""notes"": null}"
SCREEN-B9,FireFly-T binary engine retargeted to Motion-XOR,screen_20260907,,,,FireFly-T binary engine retargeted to Motion-XOR,MAPPED_FROM_QK_CENSUS || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,AND-PopCount is only overlap term; must add K_peer XOR,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B9"", ""pitch"": ""FireFly-T binary engine retargeted to Motion-XOR"", ""s1_status"": ""MAPPED_FROM_QK_CENSUS"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""three_pop_means"": [0.012507870370370364, 30.62226481481481, 1.5262000000000007]}, ""next"": ""AND-PopCount is only overlap term; must add K_peer XOR"", ""notes"": null}"
SCREEN-B10,Dual-spike skip attention datapath,screen_20260907,,,,Dual-spike skip attention datapath,NEW_QK_CENSUS_EP35 || S1,2026-09-07 历史筛查；QK 统计为 ep35，不能当 ep34 或当前执行结论,Q already very sparse; dual-spike skip is almost Q-skip,research/idea_screen_20260907/scoreboard.json,"{""id"": ""B10"", ""pitch"": ""Dual-spike skip attention datapath"", ""s1_status"": ""NEW_QK_CENSUS_EP35"", ""highest_stage_reached"": ""S1"", ""aee_gate"": ""NO_AEE"", ""aee"": null, ""numbers"": {""both_qk_zero_t1_frac"": 0.5569458937198067, ""q_bit_density"": 0.0172676731078905, ""k_bit_density"": 0.03826545390499195}, ""next"": ""Q already very sparse; dual-spike skip is almost Q-skip"", ""notes"": null}"
