uid,name,source,depth,A,B,X_hint,f_or_stageB,boundary,idea_bullets,kill_gate
ARX-003,Benchmarking Microsaccade Recognition with Event Cameras,arxiv_2510.24231+本地excerpt,方法级（仅方法摘录窗口）+依据：§3 Blender→v2e；角类+时长/计数重叠重采样；§4 Spiking-VGGFlow双头（分类+Farneback流监督）；推理卸流头；完整真值标签可能截断,合成微眼跳事件集 + 训练期光流辅助头逼模型学运动而非事件计数——微眼跳事件基准与运动正则对照（借入≠X）。,仅按事件计数分类；无重叠重采样的时长泄漏；帧相机微眼跳；推理期仍跑流头。,微眼跳基准≠lifting X；数据集/应用旁路，勿搬准确率当净服务%。,F2弱相关（时间运动表示）。数据/应用旁路。不抢 Stage B。f_candidates空。,合成/EV-Eye检测率≠valid825；仅摘录窗；Farneback监督≠真实流GT。,时长与事件计数重叠重采样作防泄漏合同 | 训练期Lclass+λLflow、推理卸头作零成本正则模板 | Blender角类+v2e作微运动事件供数旁证 | 与纯Spiking-VGG成簇 | 负结果只停该流正则挂接,流正则无增益或数据集偏差挤占 Stage B → 保持旁路。
ARX-185,Platinum,arxiv_2511.21910+本地excerpt,方法级（仅方法摘录窗口）+依据：§III离线build path+在线四段LUT构造；Algo1/2；bit-serial↔ternary路径切换；PPE查询/聚合；完整RTL面积表可能截断,离线生成可切换构造路径、在线按path做shortcut LUT；ternary专用LUT省并项——低比特LUT加速与Prosperity动态调度对照（借入≠X）。,Prosperity运行时shortcut调度；纯bit-serial三元编码；离线预存全LUT；无路径切换的固定构造。,Platinum LUT路径≠lifting X；同Prosperity族底座，差分不在BitNet×速%。,F3相关（联合图/公共虚节点/路径调度语言；与Prosperity对照）。第二队列线索。不抢 Stage B。f_candidates含F3。,BitNet加速比≠valid825；仅摘录窗；LUT路径≠lifting源DAG产品mask。,离线path+Finish token作去调度器构造合同 | bit-serial↔ternary路径切换作精度特化模板 | LUT[dst]=LUT[src]±a[j]四段流水作面积旁证 | 与Prosperity成簇：静态path vs动态调度 | 负结果只停该LUT路径替换,路径切换无增益或LUT构造仍瓶颈挤占 Stage B → 保持旁路/降为F3线索。
ARX-047,SAOCDS,arxiv_2601.02613+本地excerpt,方法级（仅方法摘录窗口）+依据：§III SAOCDS；FC权掩码AND；卷积GOAP/EM；输出通道顺序流；Algo1时空稀疏无嵌套控制；完整AMC表可能截断,流式SNN：预压缩非零权遍历 + 输入尖峰门控累加 + 按输出通道固定顺序流——时空稀疏与层间直连吞吐合同对照（借入≠X）。,输入优先流式无视权稀疏；脉动阵列GOAP复制控制；仅时间稀疏滑窗；层间写回全局缓冲。,SAOCDS/AMC≠lifting X；FPGA流式旁路，差分不在调制分类准确率%。,"F1/F2相关（非零权/源活动选择、输出通道有序共同完成）。可挂第二队列线索。不抢 Stage B。f_candidates含F1,F2。",AMC准确率/吞吐≠valid825；仅摘录窗；输出通道顺序≠lifting半步RNE检查点。,权掩码AND得fetch mask作FC空间稀疏合同 | GOAP按非零权+EM门控累加作卷积模板 | 输出通道顺序流免层间控制作直连旁证 | 时空稀疏无嵌套条件作负载均衡语言 | 负结果只停该流式数据流替换,稀疏度低时无增益或通道序约束冲突挤占 Stage B → 保持旁路/降为F1/F2线索。
ARX-002,Unbiased Gradient Estimation for Event Binning via Functional Backpropagation,arxiv_2602.12590+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.1–3.3 FBP链规则；弱导数κ=l∗k；Algo1前向不变+反向κ′；偏置分析vs rect/linear/gauss；多维扩展可能截断,事件分箱用函数反传合成弱导数κ=l∗k，前向核不变、仅改反向——无偏事件分箱梯度与启发式代理对照（借入≠X）。,不可微rect分箱；线性/高斯启发式代理；只反传到权不反传到坐标；有偏长程差分。,FBP分箱梯度≠lifting X；训练前端旁路，勿搬光流/IWE指标当净服务%。,F2弱相关（时间分箱/连续状态梯度）。训练旁路。不抢 Stage B。f_candidates空。,IWE/光流基准≠valid825；仅摘录窗；弱导数实现≠硬件事件前端。,κ=l∗k替换k′作无偏弱导数合同 | Algo1前向不变+VJP用κ′作训练模板 | Dirac梳余切重构作连续运动流旁证 | 与linear/gauss代理成簇 | 负结果只停该分箱反传替换,无偏梯度无下游增益或算力税挤占 Stage B → 保持旁路。
ARX-176,Focus Session: Hardware and Software Techniques for Accelerating Multimodal Foundation Models,arxiv_2604.21952+本地excerpt,方法级（仅方法摘录窗口）+依据：§II多层方法：域适配→压缩(剪枝/量化/KD/LoRD/OBR)→操作优化(推测解码/级联/token剪)→数据流+Transformer加速器+LLM辅助EDA；尖峰MFM延伸；细部实现可能截断,MFM多层共设计：层次混合精度+结构剪枝 + 小到大级联自测升级 + 序列/分辨率/算子融合共优化——多模态基础模型加速流水对照（借入≠X）。,单点量化无流水；无级联的大模型直推；忽略跨模态对齐开销；纯软件无加速器数据流。,MFM加速综述方法≠lifting X；大模型旁路，勿搬医学/代码任务点当净服务%。,"F1/F2/F7相关（结构剪枝、有损共同完成/级联、打包供数语言）。综述线索库。不抢 Stage B。f_candidates含F1,F2,F7。",MFM任务指标≠valid825；仅摘录窗；综述条目≠可直接落地RTL。,小→大级联+轻量自测升级作有损共同完成合同 | 层次混合精度×结构剪枝作压缩模板 | 序列长/视觉分辨率/stride与图级融合共优化旁证 | 尖峰-MFM延伸作事件化路线 | 负结果只停该综述条目挂接,条目不可落地或与Stage B同分母冲突 → 保持旁路/仅作线索库。
ARX-174,NeuroRing,arxiv_2604.28059+本地excerpt,方法级（仅方法摘录窗口+补架构段）+依据：§4流式核NPU+SynapseRouter；双向环+Aurora跨FPGA；突触表按目的近邻排序；局部/全局同步令牌；HLS U55C；摘录窗偏评测已补架构,多FPGA双向环流式SNN：NPU八车道 + 突触表近邻排序左右环路由 + 同步令牌防死锁——可扩展尖峰仿真与环拓扑对照（借入≠X）。,单卡脉动SNN；无环的星型/总线互连；NEST纯CPU强扩展；无近邻排序的乱序突触发射。,NeuroRing多FPGA≠lifting X；仿真加速旁路，差分不在RTF/nJ。,F5/F7弱相关（突触表驻留、跨核打包通信）。平台旁路。不抢 Stage B。f_candidates空。,皮层微环路RTF≠valid825；仅方法窗；HBM突触表≠lifting源字RF合同。,双向环+较短路径左右发射作跨核路由合同 | 突触表按目的近邻排序作通信局域模板 | 局部/全局同步令牌作反压/死锁旁证 | NPU∥SynapseRouter流重叠作吞吐语言 | 负结果只停该环拓扑替换,环拥塞或同步税吃掉扩展增益挤占 Stage B → 保持旁路。
ARX-173,A PVT-Resilient Subthreshold SRAM-Based In-Memory Computing Accelerator,arxiv_2605.00319+本地excerpt,方法级（仅方法摘录窗口）+依据：§II in-situ监测+分布式稳压；CIM/访问模式切换；电流阈ITH神经元；stride-tick批；variation-aware训练；完整芯片测可能截断,亚阈SRAM-CIM：片上监测电流闭环调VR抑PVT + 可编程ITH尖峰神经元免多比特ADC——PVT韧性存内SNN与校准/副本列对照（借入≠X）。,IDAC降RWL；事后校准/副本列；多比特ADC读出ANN-CIM；无variation-aware微调。,亚阈CIM SNN≠lifting X；模拟电路旁路，勿搬关键词检出准确率当净服务%。,模拟CIM旁路；与F族弱挂。不抢 Stage B。f_candidates空。,KWS准确率/nJ≠valid825；仅摘录窗；模拟稳压≠数字same-port合同。,监测单元+分布式EA闭环VR作PVT合同 | ITH电流阈代电压阈作尖峰检测模板 | 访问/CIM双模供电切换作噪声裕度旁证 | variation-aware微调恢复精度 | 负结果只停该CIM前端替换,稳压开销过大或精度不可恢复挤占 Stage B → 保持旁路。
ARX-001,Aquatic Neuromorphic Optical Flow,arxiv_2605.07653+本地excerpt,方法级（仅方法摘录窗口）+依据：§II计数编码；CM损失；线性翘曲+各向同性缩放ϕ；可学习阈/漏LIF；Aq-FireNet；ϕ/λ0消融；完整水下集细节可能截断,水下事件光流：对比最大化 + 平移⊕各向同性微折射缩放ϕ + 尖峰FireNet变体——流体场景自监督光流与陆地线性翘曲对照（借入≠X）。,纯线性CM翘曲；监督ANN光流；无L0噪声项；帧相机水下光流。,水下神经形态光流≠lifting X；应用旁路，差分不在AEE/FWL%。,F2弱相关（时间翘曲/事件表示）。应用旁路。不抢 Stage B。f_candidates空。,水下AEE≠valid825；仅摘录窗；各向同性ϕ假设≠真实湍流。,v⊕ϕ各向同性缩放作流体翘曲合同 | LCM含L0抑扩散事件作噪声模板 | 事件计数图+可学习LIF作高效编码器旁证 | ϕ=0/λ0=0消融成簇 | 负结果只停该水下光流挂接,ϕ无增益或水下数据不可复现挤占 Stage B → 保持旁路。
ARX-041,Encoding and Decoding Temporal Signals with Spiking Bandpass Wavelets,arxiv_2605.09770+本地excerpt,方法级（仅方法摘录窗口）+依据：Algo1 DoE/DoT尺度空间差分→LIF极化尖峰；低通+带通通道；最小二乘解码器；框架界/误差界；Morlet/Szu对照；完整证明可能截断,尖峰带通小波：差分低通尺度空间得DoE/DoT带通 + LIF量化 + 可证框架界重建——因果稀疏时间编码与非因果Morlet对照（借入≠X）。,非因果Morlet；稠密小波系数；无框架界的启发式LIF编码；仅低通无带通通道。,尖峰小波编码≠lifting X；表示/前端旁路，勿搬重建误差当净服务%。,F1弱相关（多尺度表示选择）。表示旁路。不抢 Stage B。f_candidates空。,重建MSE≠valid825；仅摘录窗；LS解码≠在线流式解码器。,"ΔL_k=L_k−L_{k−1}+LIF作带通尖峰合同 | 框架界A,B作可证重建模板 | 低通通道分立携带粗结构作合成旁证 | 与Morlet/Szu成簇：因果稀疏 vs 非因果 | 负结果只停该小波前端替换",重建界松或在线解码差距大挤占 Stage B → 保持旁路。
ARX-172,X-HEEP+ReckOn Heterogeneous SoC,arxiv_2605.12217+本地excerpt,方法级（仅方法摘录窗口）+依据：§3.1–3.3 X-HEEP/ARM×ReckOn；AER解码FSM；32b事件字(type/addr/tick)；SPI配置+BRAM/批卸载；e-prop TARGET_VALID；完整PPA可能截断,异构SoC挂开源RSNN：X-HEEP/ARM主机 + AER解码FSM供刺 + ReckOn共处理器(e-prop在线)——边缘神经形态集成与主机/加速器分界对照（借入≠X）。,单片纯加速器无主机；无AER时间戳的同步帧批；无在线学习的纯推理核；大BRAM一次性装全数据集。,X-HEEP+ReckOn集成≠lifting X；平台/SoC旁路，差分不在Braille准确率/资源%。,F5/F7弱相关（事件字打包、批卸载供数）。平台旁路。不抢 Stage B。f_candidates空。,边缘准确率≠valid825；仅摘录窗；AER 4相握手≠lifting same-port合同。,32b事件字(type∥addr∥tick)作供刺打包合同 | AER解码FSM作SAMPLE/TICK/epoch准确率旁证 | SPI参数库+AXI批卸载作主机/加速器分界模板 | TARGET_VALID触e-prop作在线学习边 | 负结果只停该SoC挂接,集成税或BRAM批卸载瓶颈挤占 Stage B → 保持旁路。
ARX-043,NESTformer Elastic Spiking Transformers,arxiv_2605.13869+本地excerpt,方法级（仅方法摘录窗口）+依据：§III弹性MLP/注意力/特征；Algo1行式注意力两级LIF；粒度g嵌套切片；GPU并行训→部署行式；尖峰能量分析；完整评测可能截断,弹性尖峰Transformer：Matryoshka嵌套宽度/头数/通道 + 行式QK→LIF→V两级映射免BMM——运行时无重训缩放与神经形态原生注意力对照（借入≠X）。,固定尺寸Spikformer/QKFormer；BMM/softmax注意力卸载CPU；仅MLP弹性的MatFormer；尺寸降但尖峰不降的特征提取瓶颈。,NESTformer弹性≠lifting X；模型侧旁路，勿搬EHWGesture/DVS准确率或µJ当净服务%。,F7相关（行式注意力作打包友好算子）。模型旁路。不抢 Stage B。f_candidates含F7。,手势准确率/Loihi pJ模型≠valid825；仅摘录窗；GPU慢化行式≠芯片吞吐合同。,行式两级LIF(Q·Kᵀ→LIF→·V)作神经形态注意力合同 | 粒度g嵌套切片作无重训宽度/头/通道模板 | 训用并行GEMM部署转行式作软硬桥 | 特征提取尖峰占比作能量缩放旁证 | 负结果只停该弹性挂接,弹性无线性降尖峰或映射开销挤占 Stage B → 保持旁路。
ARX-038,SymbolicLight V1 Spike-Gated Dual-Path LM,arxiv_2605.21333+本地excerpt,方法级（仅方法摘录窗口）+依据：§3 SpikeEncoder LIF；Dual-Path SparseTCAM(衰减态+窗局部注意力)；门控融合；context MLP；chunk=64；~90%零尖峰探针；完整训练细节可能截断,尖峰门控双路径LM：LIF二值门控衰减/FFN + 连续残差上流式窗注意力与context MLP——高编码器稀疏与纯SNN/纯稠密对照（借入≠X）。,纯SpikeGPT/RWKV递推；全二值残差；BitNet权重量化无尖峰门；无辅助CE深监督。,SymbolicLight双路径≠lifting X；语言模型旁路，勿搬PPL当净服务%。,"F2/F7相关（有损共同完成/稀疏门控路径、打包友好投影）。表示旁路。不抢 Stage B。f_candidates含F2,F7。",PPL/零尖峰探针≠valid825；仅摘录窗；混合模型≠纯事件合同；位置掩码实测近失效。,s门控衰减态∥c连续注意力作双路径合同 | 学习α半衰期作短程记忆模板 | chunk递推膜态交接作长序列旁证 | AuxCE深监督作训练稳定边 | 负结果只停该LM混合挂接,质量差距大或稀疏不可兑现挤占 Stage B → 保持旁路。
ARX-036,PSViT Structured Pruning SViT,arxiv_2606.03257+本地excerpt,方法级（仅方法摘录窗口+补§III PDF）+依据：层敏度/内存剖析→均匀通道剪→细粒度块敏度覆盖；单次结构化；SDTv2/ImageNet；无迭代重训依赖；细部比率表可能截断,SViT单次结构化剪枝：层敏度剖析 + 均匀通道剪大层 + 细粒度弱敏块加码——可映射脉动/常规阵列的压缩与非结构化彩票对照（借入≠X）。,非结构化Sparsespikformer；仅token/时空稀疏无减参；迭代剪枝+多次微调；忽略层敏度的一律剪。,PSViT结构化剪≠lifting X；压缩旁路，勿搬ImageNet Top-1当净服务%。,F1相关（结构选择/通道剪）。压缩旁路。不抢 Stage B。f_candidates含F1。,ImageNet Top-1≠valid825；仅方法窗；通道剪≠lifting源字并集合同。,层敏度×内存剖析作剪前合同 | 均匀通道剪大层作结构友好模板 | 弱敏块细粒度加码作精度-内存旁证 | 单次无重训作嵌入约束边 | 负结果只停该SViT剪枝挂接,精度掉出3%窗或不可迁移他骨干挤占 Stage B → 保持旁路。
ARX-035,PrimeSVT Memory-aware Prioritized Pruning,arxiv_2606.03428+本地excerpt,方法级（仅方法摘录窗口+补§III PDF）+依据：目标层选择B分；优先从大层顺序非均匀剪；L2通道滤；约束驱动候选选择；自动化相对PSViT；细部鲁棒度量可能截断,内存感知优先压缩：候选层集B分选型 + 自大到小顺序非均匀剪率 + 约束验收选模——自动化SViT结构化剪与手工均匀剪对照（借入≠X）。,手工均匀剪率；非结构化；仅token稀疏；无内存约束的盲目剪。,PrimeSVT自动化剪≠lifting X；压缩旁路，差分不在26.68%内存%。,F1相关（结构压缩策略）。压缩旁路。不抢 Stage B。f_candidates含F1。,ImageNet Top-1≠valid825；仅方法窗；优先策略≠RTL调度合同。,B=准确率×内存收益作目标层合同 | 自大到小优先序+非均匀率作压缩模板 | L2通道滤作结构剪单元 | 约束门控候选选模旁证 | 负结果只停该自动化剪挂接,自动化无优于PSViT手工或约束不可满足挤占 Stage B → 保持旁路。
ARX-033,MOSAIC Heterogeneous NPU DSE,arxiv_2606.05362+本地excerpt,方法级（仅方法摘录窗口）+依据：§3四层(输入/编译/仿真/校准)+DSE；DAG映射+op分裂；屋顶线；异构tile(MAC/DSP/SFU含LIF)；NoC/DRAM共享；ASAP7校准；完整RTL门控可能截断,异构NPU工作负载DSE：精度/融合/DAG映射+分裂 + 七模块tile仿真(含LIF SFU) + 多种子扫+GA——异构核探索与同构脉动对照（借入≠X）。,单tile同构仿真；无op分裂的整算子映射；静态DRAM均分；无SNN专用SFU的通用DNN DSE。,MOSAIC仿真DSE≠lifting X；工具旁路，勿搬Pareto延迟/能当净服务%。,F5/F7弱相关（映射调度、跨tile打包）。工具旁路。不抢 Stage B。f_candidates空。,仿真PPA≠硅测；仅摘录窗；LIF SFU公式≠完整神经形态合同。,DAG拓扑序+兼容tile最早完成作映射合同 | OC/B/IC分裂+显式reduce税作并行模板 | 动态DRAM带宽共享作异构旁证 | SFU LIF公式作尖峰算子接入边 | 负结果只停该DSE挂接,校准偏差大或搜索不可复现挤占 Stage B → 保持旁路。
ARX-032,SNN-MLIR NIR→MLIR→C,arxiv_2606.09213+本地excerpt,方法级（仅方法摘录窗口+补arxiv HTML §III–V）+依据：类型多态snn.*方言；CUBA-LIF/LIF态就地；功率2权重量化+Q12态+自动rescale；降到linalg/arith→无依赖C11；原摘录偏局限已补方法,NIR→snn-mlir→裸机C：类型多态神经元/突触op + 自动尺度对齐rescale + 单IR服务浮点仿真与i8部署——可审计SNN编译桥与手写量化对照（借入≠X）。,每后端手写部署；float/int分裂两套op；无NIR的框架锁死；仅Python运行时逐步仿真。,snn-mlir编译桥≠lifting X；工具链旁路，差分不在213–266×相对框架。,F7弱相关（IR层打包/量化合同语言）。工具旁路。不抢 Stage B。f_candidates空。,嵌入式吞吐≠valid825；线性链/无卷积/batch=1限制；补HTML≠原gap窗全文。,类型多态snn.cubalif作浮点/量化同op合同 | snn.rescale自动插层作尺度对齐模板 | NIR前端→linalg/arith→C11作可审计降级旁证 | 功率2权+Q12态作嵌入量化边 | 负结果只停该编译桥挂接,拓扑覆盖不足或量化误差不可接受挤占 Stage B → 保持旁路。
ARX-031,Otters++ TTFS Optical Spiking Transformer,arxiv_2606.13016+本地excerpt,方法级（仅方法摘录窗口）+依据：光电子衰减作TTFS时间核；SNN前向/QNN反向STE；DFT层窗同步；设备噪声采样；系统能量含共享/多跳；完整光学工艺可能截断,物理TTFS光尖峰Transformer：器件衰减当时间算子 + SNN前向/等价QNN反向STE + 设备方差感知——光电子共设计与数字TTFS对照（借入≠X）。,软件显式衰减TTFS；直接对首尖微分；忽略器件噪声的后置校准；仅算子计数无数据移动的能量模型。,Otters++光TTFS≠lifting X；光学/训练旁路，勿搬GLUE分或层能量×当净服务%。,光学模拟旁路；与F族弱挂。不抢 Stage B。f_candidates空。,GLUE/层能量≠valid825；仅摘录窗；模拟光突触≠数字same-port合同。,光衰减响应代数字时间核作TTFS合同 | SNN前∥QNN反STE作可训模板 | DFT层窗同步作因果旁证 | 设备上下界采样+共享/多跳能量作鲁棒/计价边 | 负结果只停该光学TTFS挂接,器件漂移或训练仍过稀疏挤占 Stage B → 保持旁路。
ARX-170,SupraSNN Synapse-Level Parallelism,arxiv_2606.13354+本地excerpt,方法级（仅方法摘录窗口）+依据：§4 SPU并行+路由位串；MC Tree组播；ME Tree无缓冲归约；中心Neuron Unit LIF；超标量类比；映射/调度共优化；完整评测可能截断,突触级并行SNN加速：多SPU + 路由位串导引MC树组播 + ME树同步归约部分和 + 中心膜态单元——稀疏连接下平衡并行与归约对照（借入≠X）。,ODIN时分全交叉棒；Spiker+神经元全并行吃满片上权；仅互联优化的SpiNeMap；突触/神经元分核却部分和DRAM瓶颈。,SupraSNN映射调度≠lifting X；加速器旁路，差分不在吞吐/能效点。,F5/F7相关（突触表并行驻留、事件组播打包）。加速器旁路。不抢 Stage B。f_candidates空。,仿真/加速指标≠valid825；仅方法窗；中心Neuron Unit≠分布式膜态合同。,路由位串+MC树作按需组播合同 | ME树无缓冲同步归约作部分和模板 | SPU∥中心LIF作超标量类比旁证 | 映射/调度共优化作负载均衡边 | 负结果只停该突触并行挂接,归约树成为瓶颈或位串存储税过大挤占 Stage B → 保持旁路。
ARX-168,VQ4SNN Vector Quantization FPGA SNN,arxiv_2606.20675+本地excerpt,"方法级（仅方法摘录窗口+补arxiv HTML §III）+依据：权VQ指针+共享码本两级存储；交错层执行免多端口；分析选型(d,k)；相对Spiker+/ModNef BRAM；原摘录偏结论已补方法","FPGA SNN权向量量化：指针∥共享码本两级存储 + 交错执行消多端口 + 分析选(d,k)——片上BRAM压缩与稠密权表对照（借入≠X）。",稠密BRAM权表；重多端口码本；仅标量量化/剪枝；无硬件感知的纯算法VQ。,VQ4SNN码本≠lifting X；存储压缩旁路，勿搬BRAM%当净服务%。,F5/F1弱相关（权驻留组织、有损压缩）。存储旁路。不抢 Stage B。f_candidates空。,MNIST/SHD准确率≠valid825；高尖峰密度时延↑；补HTML≠原gap窗全文。,"指针+共享码本作两级权存合同 | 交错层执行消多端口作时分模板 | 分析(d,k)选型作压缩旁证 | 码本复制换延迟作资源边 | 负结果只停该VQ挂接",高活动时延不可接受或精度掉点挤占 Stage B → 保持旁路。
ARX-130,SCENIC Edge IoT Command Generation,arxiv_2606.22296+本地excerpt,方法级（仅方法摘录窗口）+依据：紧凑中文骨干对比；C-SFT三元组辅助；多剪枝(幅度/梯度/WANDA/2:4)；ONNX FP16/INT8；TensorRT编码器剖析；摘录偏评测但方法链完整,边缘结构化指令生成：Instruct数据+紧凑Enc-Dec选型 + C-SFT三元组 + 剪枝/导出共评——压缩鲁棒与稠密精度对照（借入≠X）。,只看稠密SFT选模；无剪枝鲁棒性的解码器优先；无导出剖析的纯准确率排行。,SCENIC IoT指令≠lifting X；应用/NLP旁路，勿搬EM@1当净服务%。,F1弱相关（结构/剪枝选型）。应用旁路。不抢 Stage B。f_candidates含F1。,EM@1≠valid825；仅摘录窗；ONNX体积降≠运行加速。,稠密拟合≠高稀疏鲁棒作选模合同 | Enc-Dec作激进剪枝稳定模板 | C-SFT三元组作辅助目标旁证 | ONNX+TensorRT分报作部署边 | 负结果只停该IoT指令挂接,任务无关或与Stage B同分母冲突 → 保持旁路。
ARX-060,SegFold Fine-Grained Dynamic SpGEMM,arxiv_2606.26701+本地excerpt,方法级（仅方法摘录窗口+补arxiv HTML提纲）+依据：Segment数据流；SelectA行交∩重排K；SegmentBC即时重分配；IPM LUT；空间折叠；向量组播；相对Spada/静态；RTL敏感度,细粒度动态SpGEMM：SelectA行交∩ + SegmentBC即时重分 + IPM LUT映射 + 空间折叠——不规则稀疏下动态数据流与静态/Spada对照（借入≠X）。,静态数据流；仅tile级适应的Spada；零偏移映射；无动态重映射的固定PE分配。,SegFold SpGEMM≠lifting X；稀疏算子旁路，勿搬SuiteSparse加速比当净服务%。,F5相关（细粒度动态供数/折叠）。算子旁路。不抢 Stage B。f_candidates含F5。,SpGEMM cycle/MAC≠valid825；仅方法窗；动态调度≠lifting并集调度合同。,SelectA行交∩重排K作复用合同 | SegmentBC即时重分作负载模板 | IPM LUT≈理想映射旁证 | 空间折叠+向量组播作带宽边 | 负结果只停该动态数据流挂接,极端稠密行压垮行级分配或调度税过大挤占 Stage B → 保持旁路。
ARX-167,Mega 22nm Conv-SNN Accelerator,arxiv_2606.30039+本地excerpt,方法级（仅方法摘录窗口）+依据：§II九簇3×3事件卷积；九库交错膜态；288并行CU四段流水+RAW转发；dense spike map→地址streamer；统一TCDM；LIF行阈；完整PPA可能截断,卷积SNN加速：九簇核偏移并行事件ΔV + 九双口SRAM交错膜态(32ch/字) + dense spike map转地址 + 统一尖峰/态/权存储——相对AER与输出中心稠密窗的供数/并行对照（借入≠X）。,高稀疏才有效的AER；输出中心滑窗取零；尖峰/膜态/权分离存储；无核偏移并行的串行事件更新。,Mega边缘SNN加速≠lifting X；加速器旁路，勿搬0.375pJ/SOP当净服务%。,加速器旁路。不抢 Stage B。f_candidates空。,硅测PPA≠valid825；仅方法窗；288SOP/周期≠lifting并集合同。,事件ΔV九偏移并行作核级复用合同 | 九库交错膜态+32ch字作同窗并发读模板 | dense map→地址streamer作相对AER旁证 | CU四段流水+RAW转发作无停顿边 | 负结果只停该事件卷积挂接,层间稀疏度不匹配或统一存储争用挤占 Stage B → 保持旁路。
ARX-027,SpikeDS Dual Sparsity Spikformer,arxiv_2607.11986+本地excerpt,方法级（仅方法摘录窗口）+依据：SPS→层次SpikeDSBlock；DSSA=发放率窗剪枝+W-EMSA专家路由；非对称CW-SSA；ρ阶梯剪枝；能量分解AC/SOP；完整临床可能截断,双稀疏尖峰Transformer：发放率引导窗剪枝∥W-EMSA头专家门控 + 非对称CW-SSA(Q自活跃/KV全窗)——激活稀疏与空间稀疏复合对照（借入≠X）。,全窗Spikformer；对称QKV仅自活跃；无专家路由的W-SSA；全阶段同等剪枝。,SpikeDS医学PNI≠lifting X；应用/注意力旁路，勿搬AUC/mJ当净服务%。,"F1/F2/F7相关（结构剪枝、时间窗打包、事件注意）。应用旁路。不抢 Stage B。f_candidates含F1,F2,F7。",AUC/理论能量≠valid825；仅摘录窗；ρ窗剪≠lifting源字删字合同。,发放率top-k窗剪作空间稀疏合同 | W-EMSA二值路由作头专家模板 | 非对称CW-SSA保剪枝窗KV作全局旁证 | Stage0禁剪+后级ρ作渐进边 | 负结果只停该双稀疏注意挂接,任务无关或窗剪伤早期特征挤占 Stage B → 保持旁路。
ARX-126,MD-SpMM Realizable N:M Search-Kernel,arxiv_2607.12505+本地excerpt,方法级（仅方法摘录窗口）+依据：MD-SpMM=Weight Packing+Micro-Dense MMA+Adaptive SplitK；LUT延迟模型+NNLS；Algo1三阶段演化搜索；完整部署可能截断,可实现N:M推理共设计：Micro-Dense把N:M落成MMA规整瓦片 + 打包解码 + 规则驱动SplitK + 延迟LUT层间搜索——相对FLOPs代理与不规则SpMM的可部署对照（借入≠X）。,仅优化稀疏比/FLOPs；不规则索引驱动SpMM；统一层N:M；无延迟约束的准确率搜索。,MD-SpMM搜索≠lifting X；GPU内核旁路，勿搬端到端加速比当净服务%。,F1相关（层间结构化稀疏配置）。内核旁路。不抢 Stage B。f_candidates含F1。,ViT延迟预测≠valid825；仅方法窗；Tensor Core MMA≠same-port合同。,Micro-Dense N:M→MMA瓦片作规整执行合同 | B_pack联合值/位作解码模板 | 规则SplitK作占用/归约权衡旁证 | LUT+NNLS延迟约束搜索作配置边 | 负结果只停该可实现N:M挂接,延迟LUT失准或搜索挤占 Stage B → 保持旁路。
ARX-219,SparHiXcel-v2 Column-Wise Sparse CNN,arxiv_2607.19248+本地excerpt+补arxiv HTML,方法级（仅方法摘录窗口+补arxiv HTML §III/VI–VIII）+依据：列向核压缩；可变列PE分配；V-Line/V-Node归约；GA通道-滤波排序；SIPR四相剪枝/复活；原摘录偏结果已补方法,FPGA稀疏CNN：列向核压缩(行内左移消零列) + 可变列宽PE映射 + V-Line分布式归约 + GA排序∥SIPR硬件感知剪枝/复活——非结构灵活与结构效率之间的桥接对照（借入≠X）。,刚性通道/块结构稀疏；无压缩的非结构重控开销；无排序/复活的朴素剪枝；固定列分配。,SparHiXcel压缩≠lifting X；FPGA CNN旁路，勿搬TOPS/GOP/s/W当净服务%。,F1相关（稀疏图案与映射共设计）。加速器旁路。不抢 Stage B。f_candidates含F1。,ImageNet GOP/s≠valid825；补HTML≠原gap窗全文；V-Line争用≠lifting并集同步。,列向压缩+原列索引作消零列合同 | 可变列PE+MUX-T作灵活映射模板 | V-Node三模归约作通道累加旁证 | GA排序+SIPR复活作利用率边 | 负结果只停该列压缩挂接,1×1层V-Line争用或剪枝掉点挤占 Stage B → 保持旁路。
ARX-123,Opto-ViT-v2 Photonic Fine-Tuning,arxiv_2607.19421+本地excerpt,方法级（仅方法摘录窗口）+依据：张量化低秩因子前/反传；压缩激活缓存X·U；五光核前向-反向流水；梯度累积稀疏头；热串扰噪声模型；完整工艺可能截断,光子近传感器ViT片上微调：冻结光权重W0+电子低秩因子链 + 仅缓存X·U + 五核前/反交错调度 + 梯度累积稀疏分类头 + 热串扰结构化噪声——光电子共训与稠密反传对照（借入≠X）。,全激活反传缓存；稠密头全参微调；独立高斯器件噪声；无流水重用光核。,Opto-ViT-v2光子微调≠lifting X；光学/训练旁路，勿搬VTAB分当净服务%。,F7弱相关（稀疏头/噪声鲁棒）。光学旁路。不抢 Stage B。f_candidates含F7。,VTAB/噪声模拟≠valid825；仅摘录窗；MRR阵列≠数字same-port合同。,张量化因子链作低存储微调合同 | 缓存X·U+边界重算作激活压缩模板 | 五核B1/B2/B3交错作光核复用旁证 | 暖机+累积梯度top-k头掩码作稀疏头边 | 负结果只停该光子微调挂接,热串扰或光学工艺不可迁挤占 Stage B → 保持旁路。
